Account Number,Organization,City,Country,CDP Region,0
10495,City of Las Vegas,Las Vegas,United States of America,North America,3
10495,"City of Las Vegas, NV",Las Vegas,United States of America,United States of America,2
10595,Leeds City Council,Leeds,United Kingdom of Great Britain and Northern Ireland,Europe,2
10806,London Borough of Enfield,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
10894,City of Los Angeles,Los Angeles,United States of America,North America,3
10894,"City of Los Angeles, CA",Los Angeles,United States of America,United States of America,2
1093,City of Atlanta,Atlanta,United States of America,North America,2
1093,"City of Atlanta, GA",Atlanta,United States of America,United States of America,2
11315,City of Manchester,nan,United Kingdom of Great Britain and Northern Ireland,Europe,4
1184,City of Austin,Austin,United States of America,North America,3
1184,"City of Austin, TX",Austin,United States of America,United States of America,2
13067,City of New Orleans,New Orleans,United States of America,North America,3
13067,"City of New Orleans, LA",New Orleans,United States of America,United States of America,2
13113,Newcastle City Council,Newcastle upon Tyne,United Kingdom of Great Britain and Northern Ireland,Europe,3
13490,Northumberland County Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
13506,Nottingham City Council,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,3
14088,City of Oslo,Oslo,Norway,Europe,3
14088,Oslo Municipality,Oslo,Norway,Europe,1
14088,Oslo kommune,Oslo,Norway,Europe,1
14136,Oxford City Council,Oxford,United Kingdom of Great Britain and Northern Ireland,Europe,1
14344,"City of Park City, UT",Park City,United States of America,North America,3
14344,"City of Park City, UT",Park City,United States of America,United States of America,2
14874,"City of Portland, OR","Portland, OR",United States of America,North America,3
14874,"City of Portland, OR","Portland, OR",United States of America,United States of America,2
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,4
1499,City of Barcelona,Barcelona,Spain,Europe,1
15014,City of Prague,Prague,Czechia,Europe,1
15515,Reading Borough Council,Reading,United Kingdom of Great Britain and Northern Ireland,Europe,2
16581,City of Seattle,Seattle,United States of America,North America,3
16581,"City of Seattle, WA",Seattle,United States of America,United States of America,2
17411,Southend on Sea Borough Council,Southend-on-Sea,United Kingdom of Great Britain and Northern Ireland,Europe,2
17411,Southend on Sea City Council,Southend-on-Sea,United Kingdom of Great Britain and Northern Ireland,Europe,1
