Questionnaire,q_id,q_id_orig,count
CDP Cities 2018,0.4-0,0.4-0,488
CDP Cities 2018,7.4-0,6.4-0,614
CDP Cities 2018,2.0b-2,2.0b-3,366
CDP Cities 2018,5.5-0,8.2-0,488
CDP Cities 2018,4.6b-1-13,7.3a-1-13,184
CDP Cities 2018,3.2a-1,3.1a-1,341
CDP Cities 2018,4.6b-1-5,7.3a-1-5,184
CDP Cities 2018,3.0-1,3.3-1,1514
CDP Cities 2018,10.3-1-1,11.4-1-1,468
CDP Cities 2018,5.0a-1,8.3a-1,325
CDP Cities 2018,9.1-1-1,10.0-1-1,70
CDP Cities 2018,5.0-0,8.3-0,505
CDP Cities 2018,13.3-1-4,14.0-1-4,70
CDP Cities 2018,5.0d-5,8.3c-3,46
CDP Cities 2018,2.1-11,2.2a-4,2000
CDP Cities 2018,8.0a-4,9.2a-3,189
CDP Cities 2018,0.1-1-1,0.1-1-1,488
CDP Cities 2018,2.0b-7,2.0b-7,366
CDP Cities 2018,10.3-1-3,11.4-1-3,468
CDP Cities 2018,9.1-1-4,10.0-1-4,70
CDP Cities 2018,4.6b-1-14,7.3a-1-14,184
CDP Cities 2018,5.0c-5,8.3b-4,24
CDP Cities 2018,10.1-4-1,11.0-4-1,468
CDP Cities 2018,14.0-0,15.0-0,734
CDP Cities 2018,2.1-9,2.2a-8,2000
CDP Cities 2018,4.6c-13-1,7.4b-13-1,61
CDP Cities 2018,7.6-4-1,6.7-4-1,236
CDP Cities 2018,13.3-1-3,14.0-1-3,70
CDP Cities 2018,6.5-9,5.2-6,1081
CDP Cities 2018,5.0d-1,8.3c-1,46
CDP Cities 2018,2.1-3,2.2a-5,2000
CDP Cities 2018,10.3-3-1,11.4-3-1,468
CDP Cities 2018,10.3-5-3,11.4-5-3,468
CDP Cities 2018,0.5-2-1,0.6-2-1,468
CDP Cities 2018,4.6c-3-1,7.4b-3-1,61
CDP Cities 2018,10.3-3-3,11.4-3-3,468
CDP Cities 2018,3.0-8,3.3-4,1520
CDP Cities 2018,8.1-7-1,9.0-7-1,468
CDP Cities 2018,4.6b-1-8,7.3a-1-8,184
CDP Cities 2018,10.3-1-5,11.4-1-5,468
CDP Cities 2018,9.1-3-4,10.0-2-4,70
CDP Cities 2018,10.3-1-4,11.4-1-4,468
CDP Cities 2018,8.1-3-1,9.0-3-1,468
CDP Cities 2018,4.6b-1-7,7.3a-1-7,184
CDP Cities 2018,10.1-9-1,11.0-8-1,468
CDP Cities 2018,5.0c-6,8.3b-2,24
CDP Cities 2018,10.3-4-3,11.4-4-3,468
CDP Cities 2018,5.0c-7,8.3b-3,24
CDP Cities 2018,10.3-4-5,11.4-4-5,468
CDP Cities 2018,8.0a-9,9.2a-8,189
CDP Cities 2018,3.2a-6,3.1a-4,341
CDP Cities 2018,6.5-7,5.2-4,1081
CDP Cities 2018,14.3-2,15.4-2,708
CDP Cities 2018,4.6b-1-1,7.3a-1-1,184
CDP Cities 2018,6.0-2,5.0a-2,1420
CDP Cities 2018,2.1-1,2.2a-1,2000
CDP Cities 2018,8.1-6-1,9.0-6-1,468
CDP Cities 2018,10.3-2-1,11.4-2-1,468
CDP Cities 2018,4.6c-8-1,7.4b-8-1,61
CDP Cities 2018,10.3-2-3,11.4-2-3,468
