q_id_2021,q_text_2021,q_type_2021,q_id_2019,q_text_2019,q_type_2019,jaccardDist
1.3-1,"please list the key development challenges, barriers and opportunities within the gcc program.-type",Question-Column,1.4-1,"please list the key development challenges, barriers and opportunities within the gcc program.-type",Question-Column,0
1.4-4,please list the stakeholder engagement activities for each relevant stakeholder group.-aim of the engagement activities,Question-Column,1.5-4,please list the stakeholder engagement activities for each relevant stakeholder group-aim of the engagement activities,Question-Column,0
10.1-1-1,what is the mode share of each transport mode in your city for passenger transport?-private motorized transport-please complete,Question-Column-Row,10.1-1-1,what is the mode share of each transport mode in your city for passenger transport?-private motorized transport-please complete,Question-Column-Row,0
10.1-5-1,what is the mode share of each transport mode in your city for passenger transport?-walking-please complete,Question-Column-Row,10.1-5-1,what is the mode share of each transport mode in your city for passenger transport?-walking-please complete,Question-Column-Row,0
10.11-5-1,please provide city-wide average air pollution metrics from the monitoring sites within your city for the most recent three years.-number of monitoring stations-pm2.5 (1 year (annual) mean),Question-Column-Row,10.15-5-1,please provide the daily and annual average concentrations average breakdown of the following air pollutants gases within your city wide:-% completeness of data (e.g. % of days with monitoring)-particulate matter pm2.5*,Question-Column-Row,0.4765625
10.3-1-2,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of private cars-electric,Question-Column-Row,10.5-1-2,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of private cars-electric,Question-Column-Row,0
10.3-2-4,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of buses-plug in hybrid,Question-Column-Row,10.5-2-4,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of buses-plug in hybrid,Question-Column-Row,0
10.3-5-1,please provide the total fleet size and number of vehicle types for the following modes of transport.-number of taxis-total fleet size,Question-Column-Row,10.5-5-1,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of taxis-total fleet size,Question-Column-Row,0
10.3-6-2,"please provide the total fleet size and number of vehicle types for the following modes of transport.-transport network companies (e.g. uber, lyft) fleet size-electric",Question-Column-Row,10.5-6-2,"please provide the total fleet size and number of vehicle types for the following modes of transport:-transport network companies (e.g. uber, lyft) fleet size-electric",Question-Column-Row,0
10.3-6-3,"please provide the total fleet size and number of vehicle types for the following modes of transport.-transport network companies (e.g. uber, lyft) fleet size-hybrid",Question-Column-Row,10.5-6-3,"please provide the total fleet size and number of vehicle types for the following modes of transport:-transport network companies (e.g. uber, lyft) fleet size-hybrid",Question-Column-Row,0
10.3-8-2,please provide the total fleet size and number of vehicle types for the following modes of transport.-comment-electric,Question-Column-Row,10.5-5-2,please provide the total fleet size and number of vehicle types for the following modes of transport:-number of taxis-electric,Question-Column-Row,0.17721518987341767
13.1-0,how much of the solid waste generated in your city is disposed to landfill or incineration (tonnes/year)?-none,Question-Column,13.1-0,how much of the solid waste generated in your city is disposed to landfill or incineration (tonnes/year)?-none,Question-Column,0
13.3-1-4,what is the amount of your city’s total solid waste collected for each of the following sectors (tonnes/year)?-amount of solid waste generated (tonnes/year)-industrial,Question-Column-Row,13.3-1-4,what is the amount of your city’s total solid waste collected for each of the following sectors (tonnes/year)?-amount of solid waste generated (tonnes/person/year)-industrial,Question-Column-Row,0.06060606060606055
13.5-0,please provide a waste composition analysis-none,Question-Column,13.5-0,please provide a waste composition analysis-none,Question-Column,0
14.1-0,what percentage of your city's population has access to potable water supply service?-none,Question-Column,14.2-0,what percentage of your city's population has access to potable water supply service?-none,Question-Column,0
14.2a-1,please identify the risks to your city’s water security as well as the timescale and level of risk.-water security risk drivers,Question-Column,14.3a-1,please identify the risks to your city’s water supply as well as the timescale and level of risk.-risks,Question-Column,0.23728813559322037
14.2a-2,please identify the risks to your city’s water security as well as the timescale and level of risk.-anticipated timescale,Question-Column,14.3a-1,please identify the risks to your city’s water supply as well as the timescale and level of risk.-risks,Question-Column,0.23728813559322037
14.2a-4,please identify the risks to your city’s water security as well as the timescale and level of risk.-estimated probability of impact,Question-Column,14.3a-2,please identify the risks to your city’s water supply as well as the timescale and level of risk.-estimated timescale,Question-Column,0.28358208955223885
14.4a-3,please provide more information on your city’s public water resource management strategy.-web link,Question-Column,14.5a-3,please provide more information on your city’s public water resource management strategy.-web link,Question-Column,0
2.1-11,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-when do you first expect to experience those changes in frequency and intensity?",Question-Column,2.1-8,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-when do you first expect to experience those changes?",Question-Column,0
2.1-12,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-please describe the impacts experienced so far, and how you expect the hazard to impact in   the future",Question-Column,2.1-12,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-please describe the impacts experienced so far, and how you expect the hazard to impact in   the future",Question-Column,0
2.1-9,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-future change in intensity",Question-Column,2.1-6,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-future change in frequency",Question-Column,0
2.1-9,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-future change in intensity",Question-Column,2.1-7,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity. please also select the most relevant assets or services that are affected by the climate hazard and provide a description of the impact.-future change in intensity",Question-Column,0
2.2-4,please identify and describe the factors that most greatly affect your city’s ability to adapt to climate change and indicate how those factors either support or challenge this ability.-please describe how the factor supports or challenges the adaptive capacity of your city,Question-Column,2.2-3,please identify and describe the factors that most greatly affect your city’s ability to adapt to climate change and indicate how those factors either support or challenge this ability.-please describe the factor and the degree to which it supports or challenges the adaptive capacity of your city,Question-Column,0.023809523809523836
3.2a-6,"please provide more information on your plan that addresses climate change adaptation and/or resilience and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-boundary of plan relative to city boundary (reported in 0.1)",Question-Column,3.1a-4,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-boundary of plan relative to city boundary (reported in 0.1)",Question-Column,0.010638297872340385
3.3-2,please describe the main goals of your city’s adaptation efforts and the metrics / kpis for each goal.-climate hazards that adaptation goal addresses,Question-Column,3.2-1,please describe the main goals of your city’s adaptation efforts and the metrics / kpis for each goal.-adaptation goal,Question-Column,0.25
4.4-0,which gases are included in your city-wide emissions inventory?-none,Question-Column,4.4-0,which gases are included in your city-wide emissions inventory? select all that apply.-none,Question-Column,0.2978723404255319
4.5-8,please attach your city-wide inventory in excel or other spreadsheet format and provide additional details on the inventory calculation methods in the table below.-overall level of confidence,Question-Column,4.5-7,please attach your city-wide inventory in excel or other spreadsheet format and provide additional details on the inventory calculation methods in the table below.-overall level of confidence,Question-Column,0
4.6a-1-1,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions (metric tonnes co2e)-stationary energy > residential buildings",Question-Column-Row,4.6a-1-1,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions / scope 1 (metric tonnes co2e)-stationary energy > residential buildings",Question-Column-Row,0.032258064516129004
4.6a-1-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions (metric tonnes co2e)-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,4.6a-1-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions / scope 1 (metric tonnes co2e)-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,0.03205128205128205
