q_id,q_text,q_type,Response Answer,q_text_cln
16.1-5-2,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-secondary (biological treatment/stabilization)-greywater/sink water,Question-Column-Row,13,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typesecondari biolog treatmentstabilizationgreywatersink water
16.1-5-3,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-secondary (biological treatment/stabilization)-industrial,Question-Column-Row,13,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typesecondari biolog treatmentstabilizationindustri
16.1-5-4,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-secondary (biological treatment/stabilization)-runoff/stormwater,Question-Column-Row,9,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typesecondari biolog treatmentstabilizationrunoffstormwat
16.1-5-5,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-secondary (biological treatment/stabilization)-other type of wastewater,Question-Column-Row,8,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typesecondari biolog treatmentstabilizationoth type of wastewat
16.1-5-6,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-secondary (biological treatment/stabilization)-unknown,Question-Column-Row,6,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typesecondari biolog treatmentstabilizationunknown
16.1-6-1,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-tertiary (polishing/potabilization)-black water/sewage,Question-Column-Row,15,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typetertiari polishingpotabilizationblack watersewag
16.1-6-2,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-tertiary (polishing/potabilization)-greywater/sink water,Question-Column-Row,12,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typetertiari polishingpotabilizationgreywatersink water
16.1-6-3,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-tertiary (polishing/potabilization)-industrial,Question-Column-Row,12,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typetertiari polishingpotabilizationindustri
16.1-6-4,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-tertiary (polishing/potabilization)-runoff/stormwater,Question-Column-Row,12,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typetertiari polishingpotabilizationrunoffstormwat
16.1-6-5,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-tertiary (polishing/potabilization)-other type of wastewater,Question-Column-Row,9,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typetertiari polishingpotabilizationoth type of wastewat
16.1-6-6,please provide the percentage breakdown of the wastewater your city collects and the percentage breakdown of the treatment type for each wastewater type:-tertiary (polishing/potabilization)-unknown,Question-Column-Row,8,pleas provid the percentag breakdown of the wastewat your citi collect and the percentag breakdown of the treatment type for each wastewat typetertiari polishingpotabilizationunknown
