Questionnaire,Account Number,Organization,Country,CDP Region,Parent Section,Section,Question Number,Question Name,Column Number,Column Name,Row Number,Row Name,Response Answer
CDP Cities 2018,50680,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",3,total emissions (metric tonnes co2e),3,Stationary energy > Institutional buildings and facilities,
CDP Cities 2018,36159,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",3,total emissions (metric tonnes co2e),8,Total Transport ,843899
CDP Cities 2018,50383,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",1,direct emissions (metric tonnes co2e),8,Total Transport ,624679
CDP Cities 2018,54402,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",1,direct emissions (metric tonnes co2e),8,Total Transport ,181400
CDP Cities 2018,50792,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",3,total emissions (metric tonnes co2e),15,Total Generation of grid-supplied energy ,71610
CDP Cities 2018,50671,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",3,total emissions (metric tonnes co2e),1,Stationary energy > Residential buildings,39732
CDP Cities 2018,55324,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",3,total emissions (metric tonnes co2e),1,Stationary energy > Residential buildings,69829
CDP Cities 2018,35887,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",1,direct emissions (metric tonnes co2e),1,Stationary energy > Residential buildings,117145.07
CDP Cities 2018,35993,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",1,direct emissions (metric tonnes co2e),4,Stationary energy > Industrial buildings & facilities,20448.62
CDP Cities 2018,50154,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",2,indirect emissions (metric tonnes co2e),13,Generation of grid-supplied energy > Electricity-only generation,109100
CDP Cities 2018,43928,,,,,,7.6,"Where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by IPCC sector,  UNFCCC Sector, US Community Protocol sources, by end user, or any other classification system used in your city",2,indirect emissions (metric tonnes co2e),13,Generation of grid-supplied energy > Electricity-only generation,2021600
